image,scored_against,dice,cldice,betti0_err,betti1_err,b0_pred,b0_gt,hd95
im0162,ah,0.8419616912767598,0.88505343146571,27,21,31,4,1.4142135623730951
im0162,vk,0.8176836803693427,0.7888006992157617,10,57,31,21,10.44030650891055
im0163,ah,0.8484234654441749,0.8880356764157039,17,2,18,1,3.1622776601683795
im0163,vk,0.8699010854341737,0.8814804171277689,10,30,18,8,3.1622776601683795
im0235,ah,0.8602421796165489,0.8856373847088559,20,10,29,9,3.1622776601683795
im0235,vk,0.7938738454251204,0.7665295390025263,22,46,29,7,14.7648230602334
im0236,ah,0.8676262268541941,0.8901299645893634,19,10,22,3,4.0
im0236,vk,0.8089057631595238,0.7968328080474524,7,16,22,15,12.529964086141668
im0239,ah,0.8407436205555948,0.8757766252092917,16,27,19,3,3.605551275463989
im0239,vk,0.76473892359718,0.7840667922499638,16,25,19,3,12.727922061357855
im0240,ah,0.8156500114683052,0.8642461400687964,29,18,36,7,7.615773105863909
im0240,vk,0.7310756589683043,0.7299663186336941,27,39,36,9,16.401219466856727
im0255,ah,0.8636835561480191,0.8944235227518951,24,23,27,3,2.8284271247461903
im0255,vk,0.8038850786216126,0.7774287773644316,10,41,27,17,10.63014581273465
im0291,ah,0.8370844114631646,0.8664795501745467,14,9,19,5,7.0
im0291,vk,0.7880432404043941,0.7584798748672243,15,20,19,4,21.587033144922902
im0319,ah,0.7888190230374256,0.8420930592782776,29,14,36,7,5.0990195135927845
im0319,vk,0.7402524857557815,0.7454467888573074,28,15,36,8,21.39158406599236
im0324,ah,0.6990717636490668,0.7729394211093484,42,10,47,5,10.770329614269007
im0324,vk,0.6294208578611246,0.6072731450774084,38,26,47,9,21.95449840010015
