image,scored_against,dice,cldice,betti0_err,betti1_err,b0_pred,b0_gt,hd95
im0162,ah,0.7604403555923093,0.8426284326973729,40,9,44,4,7.810249675906654
im0162,vk,0.836387571306183,0.8140980986764045,23,45,44,21,7.810249675906654
im0163,ah,0.7597702231848573,0.8409997514901142,38,3,39,1,13.45362404707371
im0163,vk,0.8685763923163485,0.8791419430995013,31,29,39,8,3.1622776601683795
im0235,ah,0.797207327971403,0.8484796827549344,30,2,39,9,9.486832980505138
im0235,vk,0.8387825338782534,0.7926583663442636,32,38,39,7,10.295630140987
im0236,ah,0.8118707536381371,0.8614558842667305,37,7,40,3,8.602325267042627
im0236,vk,0.8469959647287401,0.8165607803009352,25,13,40,15,8.0
im0239,ah,0.8095097605349855,0.8548783986430667,25,18,28,3,8.94427190999916
im0239,vk,0.83719646799117,0.8300234619340748,25,16,28,3,6.708203932499369
im0240,ah,0.7944258469724891,0.8402494038719913,34,16,41,7,11.313708498984761
im0240,vk,0.7829102167182662,0.7598616138296497,32,37,41,9,12.083045973594572
im0255,ah,0.8186402324860153,0.8604998271200346,35,18,38,3,7.211102550927978
im0255,vk,0.8378068583436813,0.8054092155610103,21,36,38,17,7.211102550927978
im0291,ah,0.8042958894322013,0.8444609294429452,28,7,33,5,13.416407864998739
im0291,vk,0.8005412064056221,0.7668318587836679,29,18,33,4,16.64331697709324
im0319,ah,0.7467943994104642,0.788115404073807,37,12,44,7,21.02379604162864
im0319,vk,0.7638135627778004,0.7509906018208286,36,13,44,8,14.317821063276353
im0324,ah,0.6759802648662685,0.7211503878662873,45,10,50,5,18.384776310850235
im0324,vk,0.6828050702104221,0.658169257036592,41,26,50,9,15.264337522473747
