image,scored_against,dice,cldice,betti0_err,betti1_err,b0_pred,b0_gt,hd95
im0001,ah,0.7320947862721665,0.7924443265527095,48,1,52,4,17.227860921103854
im0001,vk,0.7422430309145118,0.7448287760227917,49,7,52,3,12.0
im0002,ah,0.7826622526753406,0.8503245481264643,45,4,47,2,8.246211251235321
im0002,vk,0.6774541531823085,0.7219969510692672,43,9,47,4,9.486832980505138
im0003,ah,0.6743917207970934,0.7435526498901258,56,4,65,9,24.0
im0003,vk,0.5637565178596325,0.592216270446804,37,33,65,28,16.97056274847714
im0004,ah,0.779277702527889,0.834996269233599,29,10,40,11,17.313069675367295
im0004,vk,0.717071818097791,0.7123765100568626,36,12,40,4,7.211102550927978
im0005,ah,0.7333560871678716,0.7511903264827846,35,34,44,9,26.1725046566048
im0005,vk,0.7414662585628917,0.7454878049816218,33,4,44,11,8.0
im0044,ah,0.7368636952146547,0.8170256501076162,33,5,49,16,16.1245154965971
im0044,vk,0.7809977914009123,0.7391401972822235,42,39,49,7,12.727922061357855
im0077,ah,0.7356107615059092,0.8183763477095924,19,11,26,7,12.206555615733702
im0077,vk,0.8549672707841653,0.8438445584715354,17,27,26,9,7.0
im0081,ah,0.7308607253764575,0.8185695795316554,26,9,29,3,15.0
im0081,vk,0.8247520328835671,0.7811911788026337,22,65,29,7,10.63014581273465
im0082,ah,0.7720443073140169,0.8379669839596185,19,1,27,8,9.848857801796104
im0082,vk,0.8280300460382845,0.7804616043951779,2,41,27,29,10.04987562112089
im0139,ah,0.7010098238875582,0.8046013519523081,59,12,63,4,15.264337522473747
im0139,vk,0.8081354094413483,0.760691433002185,54,87,63,9,10.44030650891055
