run,trained_on,scored_against,dice,cldice,betti0_err,hd95
ah_f0_s0,ah,ah,0.79804,0.83273,23.4,11.15107
ah_f0_s0,ah,vk,0.68476,0.68135,18.0,23.60189
ah_f0_s1,ah,ah,0.80237,0.84115,23.5,9.6709
ah_f0_s1,ah,vk,0.68754,0.68789,18.1,23.01959
ah_f1_s0,ah,ah,0.80944,0.86015,28.2,9.47651
ah_f1_s0,ah,vk,0.72749,0.6895,26.8,18.51514
ah_f1_s1,ah,ah,0.80596,0.85708,31.2,9.5356
ah_f1_s1,ah,vk,0.72903,0.69066,28.2,18.21196
vk_f0_s0,vk,ah,0.77789,0.83029,34.9,11.96471
vk_f0_s0,vk,vk,0.80958,0.78737,29.5,10.1496
vk_f0_s1,vk,ah,0.78274,0.83591,31.4,10.13153
vk_f0_s1,vk,vk,0.78694,0.76781,26.0,13.65467
vk_f1_s0,vk,ah,0.73782,0.8069,36.9,16.14039
vk_f1_s0,vk,vk,0.75389,0.74222,33.5,10.45167
vk_f1_s1,vk,ah,0.74174,0.80764,35.5,16.8346
vk_f1_s1,vk,vk,0.7548,0.74286,33.9,10.64644
