run,trained_on,scored_against,image,band,breaks,gt_px,dice,cldice,tprec,tsens
ah_f0_s0,ah,ah,im0162,Q1_dimmest,55,1234,0.31943,0.35812,0.65517,0.2464
ah_f0_s0,ah,ah,im0162,Q2,158,4015,0.5084,0.53275,0.76275,0.40932
ah_f0_s0,ah,ah,im0162,Q3,172,8765,0.79339,0.84485,0.90411,0.79287
ah_f0_s0,ah,ah,im0162,Q4_clearest,23,16166,0.96575,0.98137,0.98077,0.98198
ah_f0_s0,ah,vk,im0162,Q1_dimmest,168,7724,0.095,0.07526,0.87356,0.03933
ah_f0_s0,ah,vk,im0162,Q2,237,11002,0.30685,0.33578,0.95455,0.20372
ah_f0_s0,ah,vk,im0162,Q3,152,12733,0.71817,0.81634,0.9864,0.6963
ah_f0_s0,ah,vk,im0162,Q4_clearest,26,17043,0.96716,0.98489,0.99717,0.97292
ah_f0_s0,ah,ah,im0163,Q1_dimmest,24,913,0.54905,0.40383,0.66434,0.29008
ah_f0_s0,ah,ah,im0163,Q2,83,2555,0.53117,0.541,0.57051,0.5144
ah_f0_s0,ah,ah,im0163,Q3,66,7366,0.78833,0.87583,0.85637,0.89619
ah_f0_s0,ah,ah,im0163,Q4_clearest,8,21917,0.96711,0.99263,0.99075,0.99453
ah_f0_s0,ah,vk,im0163,Q1_dimmest,88,5005,0.19284,0.12143,0.85315,0.06537
ah_f0_s0,ah,vk,im0163,Q2,153,8784,0.37442,0.47268,0.92692,0.31722
ah_f0_s0,ah,vk,im0163,Q3,63,12118,0.78842,0.91119,0.99311,0.84176
ah_f0_s0,ah,vk,im0163,Q4_clearest,10,23198,0.98262,0.9953,0.99899,0.99163
ah_f0_s0,ah,ah,im0235,Q1_dimmest,73,3057,0.42318,0.44318,0.71296,0.32152
ah_f0_s0,ah,ah,im0235,Q2,119,6171,0.6666,0.69788,0.83246,0.60076
ah_f0_s0,ah,ah,im0235,Q3,78,10228,0.85644,0.89579,0.90749,0.88438
ah_f0_s0,ah,ah,im0235,Q4_clearest,12,18245,0.96973,0.98435,0.98502,0.98367
ah_f0_s0,ah,vk,im0235,Q1_dimmest,156,12730,0.18483,0.13656,0.90432,0.07385
ah_f0_s0,ah,vk,im0235,Q2,123,13578,0.48809,0.48974,0.96842,0.32774
ah_f0_s0,ah,vk,im0235,Q3,59,14180,0.78953,0.88802,0.99498,0.80183
ah_f0_s0,ah,vk,im0235,Q4_clearest,8,19269,0.97295,0.98883,1.0,0.9779
ah_f0_s0,ah,ah,im0236,Q1_dimmest,48,3357,0.38313,0.38857,0.62876,0.28116
ah_f0_s0,ah,ah,im0236,Q2,70,6379,0.68969,0.69778,0.85662,0.58863
ah_f0_s0,ah,ah,im0236,Q3,58,11731,0.86836,0.90632,0.94094,0.87415
ah_f0_s0,ah,ah,im0236,Q4_clearest,13,16893,0.96709,0.9829,0.98773,0.97811
ah_f0_s0,ah,vk,im0236,Q1_dimmest,164,11583,0.20308,0.15792,0.93645,0.08623
ah_f0_s0,ah,vk,im0236,Q2,119,12232,0.54722,0.53897,0.97243,0.37279
ah_f0_s0,ah,vk,im0236,Q3,50,14892,0.82664,0.89381,0.99559,0.81091
ah_f0_s0,ah,vk,im0236,Q4_clearest,10,17515,0.96916,0.98733,1.0,0.97498
ah_f0_s0,ah,ah,im0239,Q1_dimmest,26,3436,0.25457,0.21493,0.8189,0.1237
ah_f0_s0,ah,ah,im0239,Q2,83,6687,0.49663,0.44475,0.89661,0.29572
ah_f0_s0,ah,ah,im0239,Q3,146,13176,0.80333,0.82958,0.95873,0.7311
ah_f0_s0,ah,ah,im0239,Q4_clearest,32,13272,0.94696,0.97119,0.98841,0.95456
ah_f0_s0,ah,vk,im0239,Q1_dimmest,58,9318,0.12692,0.0844,0.92126,0.04423
ah_f0_s0,ah,vk,im0239,Q2,116,12844,0.34957,0.31143,0.98644,0.1849
ah_f0_s0,ah,vk,im0239,Q3,120,17078,0.74397,0.78911,0.99699,0.65296
ah_f0_s0,ah,vk,im0239,Q4_clearest,35,13831,0.95145,0.97202,0.99943,0.94607
ah_f0_s0,ah,ah,im0240,Q1_dimmest,60,10396,0.34193,0.41662,0.82255,0.27895
ah_f0_s0,ah,ah,im0240,Q2,110,13292,0.68842,0.73363,0.89758,0.62032
ah_f0_s0,ah,ah,im0240,Q3,26,12242,0.89832,0.95752,0.98164,0.93457
ah_f0_s0,ah,ah,im0240,Q4_clearest,0,7313,0.99034,0.99876,0.99878,0.99875
ah_f0_s0,ah,vk,im0240,Q1_dimmest,153,23754,0.19998,0.15832,0.91232,0.08668
ah_f0_s0,ah,vk,im0240,Q2,118,19679,0.57515,0.59338,0.97411,0.42663
ah_f0_s0,ah,vk,im0240,Q3,28,13776,0.88023,0.93959,0.99499,0.89004
ah_f0_s0,ah,vk,im0240,Q4_clearest,1,7375,0.99311,0.99788,1.0,0.99577
ah_f0_s0,ah,ah,im0255,Q1_dimmest,86,2995,0.23529,0.29409,0.69378,0.1866
ah_f0_s0,ah,ah,im0255,Q2,171,7010,0.52074,0.60567,0.87586,0.46287
ah_f0_s0,ah,ah,im0255,Q3,103,11944,0.81873,0.88809,0.96413,0.82317
ah_f0_s0,ah,ah,im0255,Q4_clearest,12,15954,0.97577,0.99046,0.99665,0.98435
ah_f0_s0,ah,vk,im0255,Q1_dimmest,186,11173,0.09902,0.07535,0.90909,0.0393
ah_f0_s0,ah,vk,im0255,Q2,194,13470,0.37038,0.39516,0.95776,0.24893
ah_f0_s0,ah,vk,im0255,Q3,91,14513,0.78047,0.86221,0.99325,0.76171
ah_f0_s0,ah,vk,im0255,Q4_clearest,13,16378,0.97828,0.99186,1.0,0.98385
ah_f0_s0,ah,ah,im0291,Q1_dimmest,59,5612,0.38928,0.40857,0.8733,0.26667
ah_f0_s0,ah,ah,im0291,Q2,44,6266,0.75159,0.82718,0.94322,0.73656
ah_f0_s0,ah,ah,im0291,Q3,16,5570,0.92387,0.96326,0.98883,0.93897
ah_f0_s0,ah,ah,im0291,Q4_clearest,1,3970,0.98935,0.99447,0.999,0.98998
ah_f0_s0,ah,vk,im0291,Q1_dimmest,100,8426,0.28629,0.244,0.85068,0.14243
ah_f0_s0,ah,vk,im0291,Q2,51,7773,0.6949,0.74121,0.98305,0.59487
ah_f0_s0,ah,vk,im0291,Q3,12,5973,0.91009,0.96005,0.9984,0.92453
ah_f0_s0,ah,vk,im0291,Q4_clearest,1,3978,0.98936,0.99652,0.999,0.99405
ah_f0_s0,ah,ah,im0319,Q1_dimmest,71,3917,0.34491,0.40776,0.52154,0.33473
ah_f0_s0,ah,ah,im0319,Q2,72,6569,0.72053,0.77794,0.89023,0.6908
ah_f0_s0,ah,ah,im0319,Q3,29,5701,0.90419,0.92344,0.94476,0.90306
ah_f0_s0,ah,ah,im0319,Q4_clearest,0,2058,0.98936,0.99029,0.98397,0.99669
ah_f0_s0,ah,vk,im0319,Q1_dimmest,102,8846,0.27148,0.27313,0.80499,0.16446
ah_f0_s0,ah,vk,im0319,Q2,77,9216,0.67425,0.70917,0.96034,0.56215
ah_f0_s0,ah,vk,im0319,Q3,19,6429,0.91664,0.92488,0.9792,0.87627
