run,config,image,min_size,band,breaks,gt_px,skel_px,dice,cldice,tprec,tsens
A_dice_s0,A_dice,01,0,Q1_dimmest,211,4597,1791,0.56271,0.55995,0.56674,0.55332
A_dice_s0,A_dice,01,0,Q2,55,6946,2500,0.7897,0.83574,0.79055,0.8864
A_dice_s0,A_dice,01,0,Q3,9,8473,2538,0.86587,0.95308,0.93378,0.97321
A_dice_s0,A_dice,01,0,Q4_clearest,0,9424,2483,0.92649,0.98952,0.9808,0.99839
A_dice_s0,A_dice,01,20,Q1_dimmest,176,4597,1791,0.55997,0.56079,0.60424,0.52317
A_dice_s0,A_dice,01,20,Q2,48,6946,2500,0.78761,0.83218,0.79886,0.8684
A_dice_s0,A_dice,01,20,Q3,9,8473,2538,0.866,0.95427,0.9401,0.96887
A_dice_s0,A_dice,01,20,Q4_clearest,0,9424,2483,0.92658,0.98992,0.98159,0.99839
A_dice_s0,A_dice,02,0,Q1_dimmest,227,5691,1790,0.50881,0.47522,0.49237,0.45922
A_dice_s0,A_dice,02,0,Q2,48,6606,1861,0.80305,0.78451,0.72443,0.85545
A_dice_s0,A_dice,02,0,Q3,4,8662,2260,0.90231,0.95016,0.91507,0.98805
A_dice_s0,A_dice,02,0,Q4_clearest,0,12831,3378,0.96212,0.99317,0.98643,1.0
A_dice_s0,A_dice,02,20,Q1_dimmest,209,5691,1790,0.50833,0.47105,0.51026,0.43743
A_dice_s0,A_dice,02,20,Q2,45,6606,1861,0.80316,0.78627,0.74161,0.83665
A_dice_s0,A_dice,02,20,Q3,3,8662,2260,0.90402,0.95629,0.9269,0.98761
A_dice_s0,A_dice,02,20,Q4_clearest,0,12831,3378,0.96212,0.99317,0.98643,1.0
A_dice_s0,A_dice,03,0,Q1_dimmest,278,10358,3377,0.49635,0.49457,0.5519,0.44803
A_dice_s0,A_dice,03,0,Q2,33,9353,2708,0.82959,0.8495,0.82171,0.87925
A_dice_s0,A_dice,03,0,Q3,4,8095,2089,0.9388,0.97066,0.9672,0.97415
A_dice_s0,A_dice,03,0,Q4_clearest,0,5087,1047,0.98698,0.99907,0.9991,0.99904
A_dice_s0,A_dice,03,20,Q1_dimmest,243,10358,3377,0.49411,0.49046,0.58211,0.42375
A_dice_s0,A_dice,03,20,Q2,31,9353,2708,0.82921,0.84977,0.82911,0.87149
A_dice_s0,A_dice,03,20,Q3,3,8095,2089,0.93879,0.9727,0.97125,0.97415
A_dice_s0,A_dice,03,20,Q4_clearest,0,5087,1047,0.98698,0.99907,0.9991,0.99904
A_dice_s0,A_dice,04,0,Q1_dimmest,234,7750,3035,0.50468,0.46131,0.5879,0.37957
A_dice_s0,A_dice,04,0,Q2,33,6017,1865,0.80996,0.82318,0.775,0.87775
A_dice_s0,A_dice,04,0,Q3,1,6293,1680,0.91624,0.95668,0.92615,0.98929
A_dice_s0,A_dice,04,0,Q4_clearest,3,10294,2346,0.97176,0.99262,0.98702,0.99829
A_dice_s0,A_dice,04,20,Q1_dimmest,206,7750,3035,0.50388,0.46122,0.62324,0.36606
A_dice_s0,A_dice,04,20,Q2,31,6017,1865,0.80884,0.82113,0.78919,0.85576
A_dice_s0,A_dice,04,20,Q3,1,6293,1680,0.91621,0.95665,0.92662,0.98869
A_dice_s0,A_dice,04,20,Q4_clearest,3,10294,2346,0.97208,0.99409,0.98992,0.99829
A_dice_s0,A_dice,05,0,Q1_dimmest,309,9685,3539,0.48325,0.42701,0.58918,0.33484
A_dice_s0,A_dice,05,0,Q2,24,7440,2198,0.85319,0.86117,0.84239,0.8808
A_dice_s0,A_dice,05,0,Q3,4,7606,2186,0.93674,0.98343,0.977,0.98994
A_dice_s0,A_dice,05,0,Q4_clearest,0,6179,1663,0.9747,0.99647,0.99474,0.9982
A_dice_s0,A_dice,05,20,Q1_dimmest,269,9685,3539,0.4797,0.41918,0.62059,0.31647
A_dice_s0,A_dice,05,20,Q2,23,7440,2198,0.85239,0.86082,0.85635,0.86533
A_dice_s0,A_dice,05,20,Q3,4,7606,2186,0.93665,0.98343,0.97834,0.98856
A_dice_s0,A_dice,05,20,Q4_clearest,0,6179,1663,0.9747,0.99647,0.99474,0.9982
A_dice_s0,A_dice,06,0,Q1_dimmest,356,10790,3981,0.48106,0.46402,0.66201,0.3572
A_dice_s0,A_dice,06,0,Q2,42,7933,2378,0.83885,0.8361,0.84921,0.82338
A_dice_s0,A_dice,06,0,Q3,2,7891,2229,0.9512,0.9855,0.97741,0.99372
A_dice_s0,A_dice,06,0,Q4_clearest,0,5502,1401,0.98019,0.99893,0.99787,1.0
A_dice_s0,A_dice,06,20,Q1_dimmest,307,10790,3981,0.47693,0.4565,0.69924,0.33886
A_dice_s0,A_dice,06,20,Q2,37,7933,2378,0.83714,0.83099,0.86368,0.80067
A_dice_s0,A_dice,06,20,Q3,1,7891,2229,0.95165,0.98655,0.98079,0.99237
A_dice_s0,A_dice,06,20,Q4_clearest,0,5502,1401,0.98019,0.99893,0.99787,1.0
A_dice_s0,A_dice,07,0,Q1_dimmest,245,8316,2808,0.47754,0.44716,0.59181,0.35933
A_dice_s0,A_dice,07,0,Q2,41,7149,2172,0.81719,0.80843,0.8016,0.81538
A_dice_s0,A_dice,07,0,Q3,7,7254,1955,0.91989,0.95885,0.94425,0.97391
A_dice_s0,A_dice,07,0,Q4_clearest,0,7433,2033,0.9694,0.99557,0.99361,0.99754
A_dice_s0,A_dice,07,20,Q1_dimmest,217,8316,2808,0.47742,0.44465,0.63453,0.34224
A_dice_s0,A_dice,07,20,Q2,34,7149,2172,0.81745,0.81207,0.82091,0.80341
A_dice_s0,A_dice,07,20,Q3,7,7254,1955,0.92116,0.96181,0.95147,0.97238
A_dice_s0,A_dice,07,20,Q4_clearest,0,7433,2033,0.96933,0.99557,0.99361,0.99754
A_dice_s0,A_dice,08,0,Q1_dimmest,297,9976,3245,0.51136,0.4846,0.60956,0.40216
A_dice_s0,A_dice,08,0,Q2,29,8461,2479,0.84687,0.84428,0.81084,0.8806
A_dice_s0,A_dice,08,0,Q3,3,6640,1970,0.93375,0.96918,0.95743,0.98122
A_dice_s0,A_dice,08,0,Q4_clearest,1,3312,891,0.97516,0.99326,0.99439,0.99214
A_dice_s0,A_dice,08,20,Q1_dimmest,257,9976,3245,0.51095,0.48432,0.65746,0.38336
A_dice_s0,A_dice,08,20,Q2,28,8461,2479,0.84658,0.84381,0.8223,0.86648
A_dice_s0,A_dice,08,20,Q3,3,6640,1970,0.93556,0.97381,0.96652,0.98122
A_dice_s0,A_dice,08,20,Q4_clearest,1,3312,891,0.97516,0.99326,0.99439,0.99214
A_dice_s0,A_dice,09,0,Q1_dimmest,281,9368,3406,0.5304,0.53909,0.66554,0.45302
A_dice_s0,A_dice,09,0,Q2,33,7639,2383,0.85327,0.87946,0.84709,0.91439
A_dice_s0,A_dice,09,0,Q3,3,6249,1936,0.93283,0.97576,0.96716,0.9845
A_dice_s0,A_dice,09,0,Q4_clearest,1,3485,1001,0.96977,0.98484,0.99695,0.97303
A_dice_s0,A_dice,09,20,Q1_dimmest,248,9368,3406,0.52702,0.53138,0.68524,0.43394
A_dice_s0,A_dice,09,20,Q2,30,7639,2383,0.85205,0.87584,0.84909,0.90432
A_dice_s0,A_dice,09,20,Q3,3,6249,1936,0.93266,0.97599,0.96762,0.9845
A_dice_s0,A_dice,09,20,Q4_clearest,1,3485,1001,0.96963,0.98484,0.99695,0.97303
A_dice_s0,A_dice,10,0,Q1_dimmest,296,7560,3177,0.5242,0.49696,0.55092,0.45263
A_dice_s0,A_dice,10,0,Q2,38,6756,2369,0.81923,0.81467,0.7564,0.88265
A_dice_s0,A_dice,10,0,Q3,2,6741,2035,0.91105,0.96133,0.93066,0.9941
A_dice_s0,A_dice,10,0,Q4_clearest,0,6099,1556,0.95671,0.99236,0.98484,1.0
A_dice_s0,A_dice,10,20,Q1_dimmest,276,7560,3177,0.52634,0.5021,0.5759,0.44507
A_dice_s0,A_dice,10,20,Q2,35,6756,2369,0.81812,0.81083,0.75952,0.86957
A_dice_s0,A_dice,10,20,Q3,1,6741,2035,0.91263,0.96607,0.94223,0.99115
A_dice_s0,A_dice,10,20,Q4_clearest,0,6099,1556,0.95731,0.99467,0.9894,1.0
A_dice_s0,A_dice,11,0,Q1_dimmest,320,6386,2930,0.48199,0.41911,0.53945,0.34266
A_dice_s0,A_dice,11,0,Q2,50,5601,2186,0.78367,0.75083,0.72107,0.78317
