config,metric,mean,std,min,max
A_dice,dice,0.8112,0.0009,0.8105,0.8125
A_dice,cldice,0.8138,0.0016,0.8124,0.816
A_dice,betti0_err,90.5667,7.637,80.45,98.9
A_dice,betti1_err,30.1333,0.606,29.5,30.95
A_dice,hd95,4.3733,0.0862,4.2926,4.4928
B_cldice,dice,0.8114,0.0012,0.81,0.8129
B_cldice,cldice,0.8175,0.0001,0.8174,0.8177
B_cldice,betti0_err,70.8,2.7662,67.85,74.5
B_cldice,betti1_err,28.1667,0.733,27.15,28.85
B_cldice,hd95,4.4395,0.0935,4.3729,4.5717
C_boundary,dice,0.8114,0.0018,0.8093,0.8137
C_boundary,cldice,0.8147,0.0024,0.8113,0.8168
C_boundary,betti0_err,85.85,3.9606,80.25,88.75
C_boundary,betti1_err,29.8667,0.3472,29.55,30.35
C_boundary,hd95,4.3876,0.0972,4.2518,4.4737
D_blurpool,dice,0.8071,0.0005,0.8064,0.8077
D_blurpool,cldice,0.8069,0.0012,0.8052,0.8079
D_blurpool,betti0_err,84.2833,7.2967,75.85,93.65
D_blurpool,betti1_err,29.7167,0.7554,28.65,30.3
D_blurpool,hd95,4.79,0.1098,4.6917,4.9433
