06:09:30 waiting: recover_rest 30, e13 13
06:14:35 waiting: recover_rest 30, e13 13
06:19:40 waiting: recover_rest 30, e13 12
06:24:45 waiting: recover_rest 30, e13 12
06:29:51 waiting: recover_rest 30, e13 12
06:34:56 waiting: recover_rest 30, e13 11
06:40:01 waiting: recover_rest 30, e13 11
06:45:06 waiting: recover_rest 30, e13 11
06:50:11 waiting: recover_rest 30, e13 10
06:55:17 waiting: recover_rest 30, e13 10
07:00:22 waiting: recover_rest 30, e13 10
07:05:27 waiting: recover_rest 30, e13 9
07:10:32 waiting: recover_rest 30, e13 9
07:15:38 waiting: recover_rest 30, e13 8
07:20:43 waiting: recover_rest 30, e13 8
07:25:48 waiting: recover_rest 30, e13 8
07:30:53 waiting: recover_rest 30, e13 8
07:35:58 waiting: recover_rest 30, e13 7
07:41:04 waiting: recover_rest 30, e13 7
07:46:09 waiting: recover_rest 30, e13 7
07:51:14 waiting: recover_rest 30, e13 6
07:56:20 waiting: recover_rest 30, e13 6
08:01:25 waiting: recover_rest 30, e13 5
08:06:30 waiting: recover_rest 30, e13 5
08:11:35 waiting: recover_rest 30, e13 5
08:16:41 waiting: recover_rest 30, e13 5
08:21:46 waiting: recover_rest 30, e13 4
08:26:52 waiting: recover_rest 30, e13 4
08:31:57 waiting: recover_rest 30, e13 3
08:37:02 waiting: recover_rest 30, e13 3
08:42:07 waiting: recover_rest 30, e13 3
08:47:13 waiting: recover_rest 30, e13 2
08:52:18 waiting: recover_rest 30, e13 2
08:57:23 waiting: recover_rest 30, e13 2
09:02:29 waiting: recover_rest 30, e13 1
09:07:34 waiting: recover_rest 30, e13 1
09:12:39 waiting: recover_rest 30, e13 1
09:17:44 waiting: recover_rest 30, e13 1
09:22:50 waiting: recover_rest 30, e13 1
09:27:55 waiting: recover_rest 29, e13 1
09:33:00 waiting: recover_rest 28, e13 1
09:38:05 waiting: recover_rest 27, e13 1
09:43:11 waiting: recover_rest 26, e13 1
09:48:16 waiting: recover_rest 25, e13 1
09:53:21 waiting: recover_rest 25, e13 1
09:58:27 waiting: recover_rest 24, e13 1
10:03:32 waiting: recover_rest 24, e13 1
10:08:37 waiting: recover_rest 23, e13 1
10:13:42 waiting: recover_rest 22, e13 1
10:18:47 waiting: recover_rest 20, e13 1
10:23:53 waiting: recover_rest 20, e13 1
10:28:58 waiting: recover_rest 19, e13 1
10:34:03 waiting: recover_rest 19, e13 1
10:39:09 waiting: recover_rest 18, e13 1
10:44:14 waiting: recover_rest 17, e13 1
10:49:19 waiting: recover_rest 16, e13 1
10:54:25 waiting: recover_rest 15, e13 1
10:59:30 waiting: recover_rest 14, e13 1
11:04:35 waiting: recover_rest 12, e13 1
11:09:41 waiting: recover_rest 11, e13 1
11:14:46 waiting: recover_rest 11, e13 1
11:19:51 waiting: recover_rest 10, e13 1
11:24:57 waiting: recover_rest 10, e13 1
11:30:02 waiting: recover_rest 9, e13 1
11:35:08 waiting: recover_rest 8, e13 1
11:40:13 waiting: recover_rest 8, e13 1
11:45:18 waiting: recover_rest 8, e13 1
11:50:23 waiting: recover_rest 6, e13 1
11:55:29 waiting: recover_rest 4, e13 1
12:00:34 waiting: recover_rest 3, e13 1
12:05:39 waiting: recover_rest 2, e13 1
12:10:45 waiting: recover_rest 2, e13 1
12:15:50 waiting: recover_rest 2, e13 1
12:20:56 waiting: recover_rest 2, e13 1
12:26:01 waiting: recover_rest 1, e13 1
12:31:06 waiting: recover_rest 1, e13 1
12:36:11 waiting: recover_rest 1, e13 1
12:41:17 waiting: recover_rest 1, e13 1
12:46:22 waiting: recover_rest 1, e13 1
12:51:27 waiting: recover_rest 1, e13 1
12:56:32 waiting: recover_rest 1, e13 1
13:01:37 waiting: recover_rest 1, e13 1
13:06:42 waiting: recover_rest 1, e13 1
13:11:46 waiting: recover_rest 1, e13 1
13:16:51 waiting: recover_rest 1, e13 1
13:21:56 waiting: recover_rest 1, e13 1
13:27:02 waiting: recover_rest 1, e13 1
13:32:07 waiting: recover_rest 1, e13 1
13:37:13 waiting: recover_rest 1, e13 1
13:42:18 waiting: recover_rest 1, e13 1
13:47:23 waiting: recover_rest 1, e13 1
13:52:28 waiting: recover_rest 1, e13 1
13:57:34 waiting: recover_rest 1, e13 1
14:02:39 waiting: recover_rest 1, e13 1
14:07:44 waiting: recover_rest 1, e13 1
14:12:50 waiting: recover_rest 1, e13 1
14:17:55 waiting: recover_rest 1, e13 1
14:23:01 waiting: recover_rest 1, e13 1
14:28:06 waiting: recover_rest 1, e13 1
