run,config,dataset,image,dice,cldice,betti0_err,betti1_err,b0_pred,b0_gt,hd95,erl,erl_ceiling,breaks,severs
A_dice_s0,A_dice,stare,im0001,0.6431022243256034,0.7032758761930044,214,2,218,4,23.08679276123039,598.05,7318.51,175,29
A_dice_s0,A_dice,stare,im0002,0.6988503241976789,0.7301990536376652,102,14,104,2,21.02379604162864,948.6,7020.85,177,26
A_dice_s0,A_dice,stare,im0003,0.7078874992471844,0.7465698017495015,119,10,128,9,19.231482359265385,618.96,4712.73,135,24
A_dice_s0,A_dice,stare,im0004,0.5904513821391081,0.6977661583195414,162,15,173,11,29.0,164.68,2264.78,170,30
A_dice_s0,A_dice,stare,im0005,0.7299882858258493,0.7363619284808359,243,6,252,9,33.0,448.93,2831.52,133,22
A_dice_s0,A_dice,stare,im0044,0.7407213397630455,0.7557805773595409,169,4,185,16,28.600699292150182,656.02,1471.06,123,19
A_dice_s0,A_dice,stare,im0077,0.7625522375330482,0.7926871369723467,142,17,149,7,14.317821063276353,2776.75,7243.06,96,7
A_dice_s0,A_dice,stare,im0081,0.7029909211198596,0.7512791205189419,193,3,196,3,21.02379604162864,2761.27,4825.14,82,12
A_dice_s0,A_dice,stare,im0082,0.7727592694508082,0.79369573665503,173,6,181,8,14.560219778561036,2392.75,6053.12,122,9
A_dice_s0,A_dice,stare,im0139,0.7725027692708673,0.7877534134424874,192,15,196,4,14.035668847618199,1614.54,8206.02,149,20
A_dice_s0,A_dice,stare,im0162,0.7797935522274985,0.8124047967795038,198,20,202,4,11.313708498984761,7302.66,10366.0,170,11
A_dice_s0,A_dice,stare,im0163,0.7652941616579794,0.8146125804302701,118,16,119,1,18.384776310850235,5394.37,8302.0,60,6
A_dice_s0,A_dice,stare,im0235,0.7974330849628705,0.8291876224592192,141,4,150,9,10.04987562112089,1618.32,7740.86,158,17
A_dice_s0,A_dice,stare,im0236,0.7902469837660286,0.8217445513875881,128,15,131,3,15.524174696260024,1617.69,7869.82,157,22
A_dice_s0,A_dice,stare,im0239,0.7288524725388031,0.7673742331033524,173,18,176,3,18.027756377319946,1204.09,8654.32,208,23
A_dice_s0,A_dice,stare,im0240,0.6716987856724626,0.7415491750443017,157,21,164,7,24.48464431042369,667.87,3646.87,136,23
A_dice_s0,A_dice,stare,im0255,0.8104169155417513,0.8176419653548253,161,17,164,3,11.045361017187261,6727.75,10587.03,249,8
A_dice_s0,A_dice,stare,im0291,0.735595095418088,0.7477633198641459,115,12,120,5,49.57216628372179,425.48,4590.45,100,14
A_dice_s0,A_dice,stare,im0319,0.6085318058486584,0.6462083641063974,123,16,130,7,52.08646657242167,153.36,2075.24,135,28
A_dice_s0,A_dice,stare,im0324,0.48667651932464506,0.559218838967136,133,10,138,5,45.27692569068709,63.24,3671.72,86,22
A_dice_s1,A_dice,stare,im0001,0.6324414715719063,0.7191460826853006,199,12,203,4,17.46424919657298,579.19,7318.51,156,32
A_dice_s1,A_dice,stare,im0002,0.7349247771336498,0.7590584105778803,90,2,92,2,19.235384061671343,1065.82,7020.85,181,25
A_dice_s1,A_dice,stare,im0003,0.7101055572803477,0.7554161194713509,104,4,113,9,17.804493814764857,700.22,4712.73,136,24
A_dice_s1,A_dice,stare,im0004,0.6083062364921435,0.7068809996296965,124,15,135,11,30.0,193.82,2264.78,128,27
A_dice_s1,A_dice,stare,im0005,0.7548867361778698,0.7820864355847049,152,2,161,9,21.93171219946131,1021.93,2831.52,90,13
A_dice_s1,A_dice,stare,im0044,0.7365134431916739,0.7649416607643105,159,9,175,16,20.518284528683193,722.4,1471.06,114,19
A_dice_s1,A_dice,stare,im0077,0.7578891089590143,0.8085237893300236,115,12,122,7,12.083045973594572,2888.01,7243.06,67,4
A_dice_s1,A_dice,stare,im0081,0.7264898979769211,0.7872187498901267,163,2,166,3,17.69180601295413,2634.45,4825.14,78,12
A_dice_s1,A_dice,stare,im0082,0.7591912003428438,0.8091297967218135,153,9,161,8,10.816653826391969,1556.77,6053.12,97,7
A_dice_s1,A_dice,stare,im0139,0.7566548699799969,0.7877722307385043,165,3,169,4,11.704699910719626,1039.22,8206.02,122,14
A_dice_s1,A_dice,stare,im0162,0.7827406532015471,0.8301713546265231,136,14,140,4,7.810249675906654,8010.35,10366.0,120,6
A_dice_s1,A_dice,stare,im0163,0.7778285714285714,0.8355899928908217,110,2,111,1,13.0,3665.68,8302.0,65,2
A_dice_s1,A_dice,stare,im0235,0.7873354996949663,0.8353609637789564,125,2,134,9,8.602325267042627,1624.46,7740.86,143,19
A_dice_s1,A_dice,stare,im0236,0.782319042492559,0.8318976449681009,129,18,132,3,9.219544457292887,1732.99,7869.82,137,20
A_dice_s1,A_dice,stare,im0239,0.7181943125947546,0.795990964270764,137,26,140,3,13.416407864998739,1346.13,8654.32,158,18
A_dice_s1,A_dice,stare,im0240,0.6869231460443384,0.7624826446638703,152,20,159,7,17.079214321928678,766.4,3646.87,131,22
A_dice_s1,A_dice,stare,im0255,0.8320206215093799,0.8444428398108754,132,26,135,3,7.615773105863909,7729.28,10587.03,179,5
A_dice_s1,A_dice,stare,im0291,0.7690650581645843,0.7839679624753856,82,7,87,5,33.0,1030.61,4590.45,98,8
A_dice_s1,A_dice,stare,im0319,0.6637906885539806,0.7129365652556221,100,16,107,7,29.068883707497267,169.86,2075.24,111,20
A_dice_s1,A_dice,stare,im0324,0.4649436023552224,0.5607096500200381,109,13,114,5,55.94640292279746,53.68,3671.72,97,22
A_dice_s2,A_dice,stare,im0001,0.6459997901332654,0.7210131415921603,193,12,197,4,19.1049731745428,705.2,7318.51,158,30
A_dice_s2,A_dice,stare,im0002,0.6919639613456369,0.7164018314031779,107,19,109,2,26.10073337975915,914.84,7020.85,161,28
A_dice_s2,A_dice,stare,im0003,0.7008953113955863,0.7247199890758115,123,11,132,9,20.003747659175062,468.85,4712.73,156,36
A_dice_s2,A_dice,stare,im0004,0.5996243483593989,0.6901264610285258,161,14,172,11,34.438350715445125,180.67,2264.78,130,29
A_dice_s2,A_dice,stare,im0005,0.7328595785988974,0.7433013600896072,189,4,198,9,31.960127024739677,735.51,2831.52,96,15
A_dice_s2,A_dice,stare,im0044,0.7006656924825458,0.7177636355275497,179,7,195,16,26.076809620810597,619.88,1471.06,125,31
A_dice_s2,A_dice,stare,im0077,0.7576269940454311,0.7866667159609161,171,12,178,7,15.231546211727817,2693.49,7243.06,90,9
A_dice_s2,A_dice,stare,im0081,0.7260655216284987,0.759406598375079,197,4,200,3,20.024984394500787,2514.26,4825.14,71,17
A_dice_s2,A_dice,stare,im0082,0.77106149957877,0.806473664333164,165,8,173,8,11.661903789690601,1421.83,6053.12,114,9
A_dice_s2,A_dice,stare,im0139,0.753747985820174,0.7760596889839191,164,10,168,4,18.027756377319946,1147.22,8206.02,117,19
A_dice_s2,A_dice,stare,im0162,0.7905877854255435,0.8262372153997769,144,13,148,4,9.055385138137417,7331.7,10366.0,134,7
A_dice_s2,A_dice,stare,im0163,0.7795034282152503,0.8319185898702928,103,5,104,1,14.317821063276353,4592.89,8302.0,63,7
A_dice_s2,A_dice,stare,im0235,0.7848136449778901,0.8175349627833375,132,11,141,9,10.770329614269007,1558.96,7740.86,150,16
A_dice_s2,A_dice,stare,im0236,0.7746608445521334,0.8126791087731651,151,18,154,3,14.212670403551895,1581.26,7869.82,156,21
A_dice_s2,A_dice,stare,im0239,0.6847445015239758,0.7558909747016671,177,38,180,3,20.223748416156685,930.82,8654.32,175,17
A_dice_s2,A_dice,stare,im0240,0.695096326675274,0.7627850171294907,158,18,165,7,22.090722034374522,728.51,3646.87,135,20
A_dice_s2,A_dice,stare,im0255,0.8208014462187406,0.8235237633639073,169,27,172,3,11.180339887498949,3263.77,10587.03,222,10
A_dice_s2,A_dice,stare,im0291,0.7658847588115001,0.7809013923452998,92,11,97,5,43.41658669218482,799.36,4590.45,106,6
