epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4939,0.8045,0.8164,237.8667,50.7333,9.1214,0.9
20,0.4824,0.8031,0.8144,237.2667,46.7333,8.4381,1.7
30,0.4674,0.809,0.8177,230.8667,46.9333,7.3675,2.4
40,0.4594,0.8089,0.8186,220.6,45.0,7.443,3.2
50,0.4701,0.8077,0.8201,172.2667,47.2667,8.2485,3.9
60,0.4594,0.8081,0.8232,186.2667,48.5333,7.6601,4.7
70,0.4501,0.8096,0.8215,187.8667,47.3333,7.1967,5.4
80,0.4528,0.811,0.8225,179.2,45.7333,7.1156,6.2
90,0.4478,0.8083,0.8187,184.0,45.7333,7.4981,7.1
100,0.4538,0.81,0.8188,198.8,46.4667,7.0451,7.8
