epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.4804,0.7927,0.8293,176.2,51.2667,9.1098,1.3
20,0.464,0.7982,0.825,216.7333,56.8,8.9925,2.6
30,0.4548,0.8029,0.8368,146.8,51.6,7.3985,3.9
40,0.4507,0.8027,0.8387,148.3333,48.1333,6.9484,5.1
50,0.4476,0.8005,0.836,165.0,48.4667,7.2072,6.4
60,0.4455,0.8043,0.8394,144.9333,48.4,7.1326,7.7
70,0.4363,0.8034,0.8385,147.1333,50.6667,6.8509,9.0
80,0.4457,0.805,0.8371,129.6667,46.7333,7.2249,10.2
90,0.4368,0.8028,0.8401,131.5333,43.4,7.5207,11.5
100,0.4386,0.8057,0.8392,135.2667,47.8667,6.7037,12.7
