epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.3514,0.806,0.8525,80.2,19.2,6.8224,0.8
20,0.3159,0.8133,0.8554,78.8,20.0,6.68,1.6
30,0.297,0.8024,0.8455,66.0,22.7,8.7487,2.4
40,0.2823,0.8126,0.8537,74.7,17.8,6.9437,3.1
50,0.2664,0.8053,0.8474,70.1,20.8,7.3735,3.9
60,0.2603,0.8059,0.8472,91.4,20.9,6.9942,4.7
70,0.256,0.8065,0.8495,61.6,21.4,7.2348,5.5
80,0.2434,0.8043,0.8471,76.9,20.4,6.8889,6.2
90,0.2439,0.791,0.8342,84.3,21.4,8.4544,7.0
100,0.2372,0.7975,0.8398,68.6,21.7,8.0363,7.8
