epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.3886,0.8233,0.8694,57.7,21.6,6.2784,1.2
20,0.36,0.8257,0.8702,66.2,18.3,5.0038,2.5
30,0.3499,0.8319,0.8833,45.3,18.4,5.1809,3.7
40,0.3393,0.8268,0.8721,47.4,18.6,5.2972,4.9
50,0.3356,0.8287,0.8721,51.4,18.9,4.9813,6.1
60,0.3342,0.8311,0.8767,41.8,17.2,5.1119,7.3
70,0.3236,0.8351,0.88,41.9,15.8,4.719,8.5
80,0.3245,0.8305,0.877,46.5,18.6,4.8931,9.7
90,0.3226,0.8347,0.8813,45.7,16.5,4.9248,10.9
100,0.3221,0.8367,0.8805,41.9,18.9,4.6932,12.1
