epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.2272,0.9211,0.9488,15.05,17.2,2.2859,0.7
20,0.2077,0.921,0.9458,21.65,24.9,2.5231,1.4
30,0.1881,0.9272,0.9516,16.95,15.15,2.1307,2.1
40,0.1827,0.921,0.9498,15.1,15.9,2.3124,2.8
50,0.1751,0.9123,0.9431,15.1,16.7,2.6693,3.4
60,0.1713,0.9213,0.9481,18.25,18.55,2.3408,4.1
70,0.172,0.9216,0.9506,15.9,18.0,2.2696,4.8
80,0.1678,0.924,0.9495,18.15,18.55,2.3464,5.5
90,0.1647,0.9236,0.9484,18.3,12.85,2.371,6.2
100,0.1608,0.9253,0.949,17.55,16.85,2.133,6.8
