epoch,loss,dice,cldice,betti0_err,betti1_err,hd95,minutes
10,0.264,0.9222,0.9552,11.0,15.15,2.4061,1.2
20,0.2408,0.9292,0.9613,10.05,14.5,2.0142,2.4
30,0.2344,0.9206,0.9568,7.2,8.55,2.2532,3.6
40,0.2299,0.9286,0.9627,6.05,12.45,1.9285,4.8
50,0.2242,0.9264,0.9588,7.4,6.8,1.9394,5.9
60,0.2198,0.9303,0.9625,6.35,14.35,1.8979,6.9
70,0.2172,0.9307,0.9631,6.15,14.7,1.9406,7.9
80,0.2135,0.9332,0.966,5.9,12.5,1.7462,8.9
90,0.2142,0.9325,0.9637,7.1,10.8,1.8186,9.8
100,0.2136,0.9279,0.9609,6.9,10.8,1.8689,10.8
